S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
225,II,KORIR BRIAN,Book,"The Politics of the Crowbar: Squatting in London, 1968-1977",Rowan Tallis Milligan,Squatter Settlements,1977,European,European,Abstract,squatting is inherently political and people have squatted for many reasons including the inability to find affordable housing and as a base for political groups and projects.,"political, unstable, squatting, poor",Negative,No,-,No,Descriptive,Nature and type of informal settlements,,,,"Milligan, R. T. (n.d.). The Politics of the Crowbar: Squatting in London, 1968-1977.",https://d1wqtxts1xzle7.cloudfront.net/50819772/as24.2_01milligan-libre.pdf?1481392954=&response-content-disposition=inline%3B+filename%3DThe_Politics_of_the_Crowbar_Squatting_in.pdf&Expires=1697197897&Signature=GyD97fRjVbNNYVMhc~iNm3XQxiVqDPkdqfoDRe6FNGMj0NsRKA4iV9IUrY7HnaWJL~RBJ4szUz4aj3e6gtUI5uevo-0XTXx3e2beW0aYGgZe-M9wM9utWDU0SqszoVLJDpWNiEnmbr809V--Rjq7WTtHnC7jqrmLWP6HXr0Q67VojB6ag4T~FbnsBYcQxDzuud6~lrBo2yWS6oOWwc-6GmzCQ8K~tLnZt5v-m6ZIafC~zKzpqrNxdNnM3m4Pt1FaPVyyJo6f7uFHyschjN4EoUMhqLlRxCQY09nTm0AWQycfb2EJfl2EBs6hqFxPQKljHlPR7GnxzwYixBOYhvSN6g__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
226,II,KORIR BRIAN,Journal,Squatters and the cities of tomorrow,"Neuwirth, Robert",Squatter Settlements,2007,North American,North American,Abstract,"These communities face significant challenges, life is vibrant and squatters are collectively the largest builder of housing in the world. The paper describes the everyday experience as well as the legal, political and organizational challenges of people living in so-called slums. It refutes the myths that squatter communities are emblems of human misery, everyone in these communities is impoverished and starving, and squatters are the enemy of civil society. The paper concludes by emphasizing the need for organizing in the communities to secure title, access to services and avoid evictions through successful initiatives from the squatters themselves.","vibrant, impoverished, unhealthy, illegal",Negative,No,"Household surveys, interviews",No,Descriptive,,,,Role of urban squatter settlements in development process,"Neuwirth, R. (2007). Squatters and the cities of tomorrow. City, 11(1).",https://doi.org/10.1080/13604810701200797
227,II,KORIR BRIAN,Book,Quality of Life of Urban Slum Residents,"Izutsu, T.;Tsutsumi, A.",Slums,2010,African,African,Abstract,"The living conditions in slums are harsh; they have inadequate access to safe water, sanitation and other infrastructures; poor quality housing; overcrowding; and insecure residential status.","poor, inadequate, unsafe, unhealthy",Negative,No,UN-habitat,Yes,Descriptive,,Assesses the quality of life of urban slum residents,,,"Izutsu, T., & Tsutsumi, A. (2010). Quality of Life of Urban Slum Residents. In Handbook of Disease Burdens and Quality of Life Measures.",https://doi.org/10.1007/978-0-387-78665-0_195
228,II,KORIR BRIAN,Journal,Characteristics of Slum Residents in Egypt and Their Critical Existing Problems,"Abdel-Rahman, Suzan;Khater, Elsayed;Abdel Fattah, Mohamed Naguib",Slums,2023,African,African,Abstract,"Consequently, the physical and mental health of slum dwellers is worse than those of non-slum dwellers. The quality of life (QOL) of people living in slums are understudied, however, pioneering studies have shown that QOL is worse in slum conditions, and is particularly significant among vulnerable populations such as young people, migrants, women, unemployed persons and people without formal education.","Unhealthy, vulnerable, exclusion, unemployed",Negative,No,"Household surveys, questionnares",No,Descriptive,,Characteristics of slum residents in Egypt,,,"Abdel-Rahman, S., Khater, E., & Abdel Fattah, M. N. (2023). Characteristics of Slum Residents in Egypt and Their Critical Existing Problems. Urban Forum",https://doi.org/10.1007/s12132-022-09470-y
229,II,KORIR BRIAN,Journal,Speculating on slums: Infrastructural fixes in informal housing in the global South,"Desai, Vandana;Loftus, Alex",Slums,2013,European,European,Abstract,"In this paper, we seek to revisit earlier work on the theory of rent, situating it in the current period of economic crisis and in relation to informal housing in the global South. More than ever, land is treated as a pure financial asset.","Cheap, insecure tenure, inequality, fear",Negative,No,United Nations,Yes,Descriptive,,,the need for alternative approaches to infrastructural development in informal settlements.,,"Desai, V., & Loftus, A. (2013). Speculating on slums: Infrastructural fixes in informal housing in the global South. Antipode",https://doi.org/10.1111/j.1467-8330.2012.01044.x
230,II,KORIR BRIAN,Book,Informal Urban Settlements and Slums Upgrading: Global Case Studies,"Aboulnaga, Mohsen M.;Badran, Mona F.;Barakat, Mai M.",Informal Settlements,2021,African,African,Abstract,"The slums worldwide are the most vulnerable to the spread of COVID-19 due to lack of, land tenure arrangements that help in bridging the gap between formal and informal land tenure","Vulnerable, congested, insecure tenure, disparities",Negative,No,WHO,No,Descriptive,Provides a global overview of informal settlements and urban slums.,,,,"Aboulnaga, M. M., Badran, M. F., & Barakat, M. M. (2021b). Informal Urban Settlements and Slums Upgrading: Global Case Studies. In Resilience of Informal Areas in Megacities  Magnitude, Challenges, and Policies",https://doi.org/10.1007/978-3-030-87794-1_3
231,II,KORIR BRIAN,Newspaper Article,The Next Slum?,Christopher B. Leinberger,Slums,2008,Asian,Asian,Abstract,"The study found that children who have moved an average or above-average number of times are not significantly harmed if they reside in families in which both biological parents are present for children in other family structures, any move is associated with an adverse school life.","poor, miserable, unstable, crime, illiterate",Negative,No,"National Health Interview Survey, 1988",No,Descriptive,,Explores the potential for new slums to emerge in the future,,,Christopher B. Leinberger. (2008). The Next Slum? The Atlantic Magazine,
232,II,KORIR BRIAN,Journal,Rise of Informal Slums and the Next Global Pandemic,"Ross, Allen G.;Alam, Munirul;Rahman, Mahbubur;Qadri, Firdausi;Mahmood, Shehrin S.;Zaman, Khalequ;Chau, Thao N.;Chattopadhyay, Abhiprasun;Chaudhuri, Santi P.Gon;Ross, Allen G.;Alam, Munirul;Rahman, Mahbubur;Qadri, Firdausi;Mahmood, Shehrin S.;Zaman, Khalequ;Chau, Thao N.;Chattopadhyay, Abhiprasun;Chaudhuri, Santi P.Gon",Informal Settlements,2021,North American,North American,Abstract,Informal slums are growing exponentially in the developing world and these will serve as the breeding ground for a future global pandemic.,"unrecognized, overcrowded, low-income, degradation",Negative,No,WHO,No,Descriptive,,Exmaines the rise of informal slums and the associated rsks of global pandemics,,,"Ross, A. G., Alam, M., Rahman, M., Qadri, F., Mahmood, S. S., Zaman, K., Chau, T. N., Chattopadhyay, A., & Chaudhuri, S. P. G. (2021). Rise of Informal Slums and the Next Global Pandemic. Journal of Infectious Diseases",https://doi.org/10.1093/infdis/jiab492
233,II,KORIR BRIAN,Report,Informal Settlements in the Arab Region: Towards Arab Cities without Informal Areas,"Diab, Youssef;Baher El Shaarawy;Yousry, Salma",Informal Settlements,2020,Asian,Asian,Abstract,"Attention is paid to the varying nature of rural-urban migration around the world, and its impact on quality of life and rights of urban indigenous peoples, particularly youth and women.","Inequality, excluded, poor, vulnerable",Negative,No,UN-habitat,Yes,Descriptive,Nature of informal settlments in the Arab region,,,,"Diab, Y., Baher El Shaarawy, & Yousry, S. (2020). Informal Settlements in the Arab Region: Towards Arab Cities without Informal Areas (Habitat International, Issue February",
234,II,KORIR BRIAN,Journal,Towards the Understanding and Demarcation of Informal Settlements,"Ikponmwosa David, Ighodaro;Busisiwe, Nkonki-Mandleni",Informal Settlements,2019,African,African,Abstract,"Through a review of literature, the study suggests that when a study intends focusing on all characters of informal settlements, including the overcrowding and extreme poverty aspects, the term informal settlement or informal settlements and slums may suffice. However, if basic characters are the focus, an operational definition should be provided to avoid misunderstanding. Furthermore, the study suggests the proxy term shacks not in a backyard, a term adopted by the Housing Development Agency of South Africa, even though not a perfect one, is the closest criteria for the demarcation of informal settlements","overcrowding, poverty, accomodating, lagging",Negative,No,Housing Development Agency,No,Descriptive,Different types of informal settlements and how they are demarcated,,,,"Ikponmwosa David, I., & Busisiwe, N.-M. (2019). Towards the Understanding and Demarcation of Informal Settlements. The Social Sciences",https://doi.org/10.36478/sscience.2019.116.122
235,II,KORIR BRIAN,Book,Towards the right to the city in informal settlements,"Fawaz, Mona",Informal Settlements,2013,North American,North American,Abstract,"The journal discusses the surge of illegal construction activities in Lebanon during April and May 2011, which led to confrontations between self-help builders and law enforcement. The government's response primarily focused on criminalizing these builders and enforcing security measures. The journal highlights the connection between this short-lived construction boom and the larger housing and land policies in Lebanon. It points out that housing demand was unmet due to rising property values, driven by real estate investments and neoliberal development policies.","Insecure tenure, low income, illegal, uncontrolled",Negative,No,"Housing census, ministry of interior",No,Descriptive,,,,Right to the city,"Fawaz, M. (2013). Towards the right to the city in informal settlements. In Locating Right to the City in the Global South",https://doi.org/10.4324/9780203091104
236,II,KORIR BRIAN,Journal,How do squatters deal with the state? Legalization and anomalous institutionalization in Madrid,"Martínez, Miguel A.",Squatter Settlements,2014,European,European,Abstract,"urban movements like the Europeansquatters' movement tend to resist integration into the institutions of the state. In this article, I examine the controversial issue of 'institutionalization' among squatters, focusing on the few cases of legalized squats in the city of Madrid. Negotiations with the state authorities and processes of legalization are the major forms of institutionalization involving squatters.","Instability, exclusion, repression",Negative,No,-,No,Descriptive,,,,legalization and institutional recognition,"Martínez, M. A. (2014). How do squatters deal with the state? Legalization and anomalous institutionalization in Madrid. International Journal of Urban and Regional Research",https://doi.org/10.1111/1468-2427.12086
237,II,KORIR BRIAN,Journal,"Determinants of Expansion of Squatter Settlements: the Case of Hosanna Town, Hadiya Zone, Southern Ethiopia","Ochocho, Abraham;Worku, Kenate;Yitna, Emnet",Squatter Settlements,2018,African,African,Abstract,"squatting in the town is a recent phenomenon that came into existence since 1999 E.C. The factors aggravating expansion of squatter settlements are age, migration, types of occupation, income and construction permit. Informally occupied plots of land, have poor quality housing condition and are located in areas of poor social and physical infrastructural services. The city administration should enforce and implement fast and responsive land delivery system to prevent and control the emergence of new squatters in addition to pro-active measures and regular monitoring system for reducing squatting activity.","poor, substandard, overcrowding",Negative,No,Mixed Approach Survey,No,Descriptive,,,,Informal Urban settlement,"Ochocho, A., Worku, K., & Yitna, E. (2018). Determinants of Expansion of Squatter Settlements: The Case of Hosanna Town, Hadiya Zone, Southern Ethiopia. Ethiopian Journal of Environmental Studies & Management",
238,II,KORIR BRIAN,Journal,"Contrasting adaptation responses by squatters and low-income tenants in Khulna, Bangladesh","Roy, Manoj;Hulme, David;Jahan, Ferdous",Squatter Settlements,2013,Asian,Asian,Abstract,"the future growth of low-income settlements in the country is likely to be increasingly on private land, with rented dwellings. Policy lessons generated from settlements with squatter may be inappropriate for the next generation of slums that will house millions of rural migrants and people displaced by climate change. The conclusions argue that agencies seeking to assist low-income households in Bangladesh will need to craft different strategies for settlements according to different types of land tenure.","Low-income, inappropriate, opportunities",Negative,No,Survey,No,Descriptive,Adaptatio responses of squatters and low income tenants to climate change in Bangladesh,,,,"Roy, M., Hulme, D., & Jahan, F. (2013). Contrasting adaptation responses by squatters and low-income tenants in Khulna, Bangladesh. Environment and Urbanization",https://doi.org/10.1177/0956247813477362
